name,original_text,translated_text
COURIER_SHOP_REPEAT_ACT3,"&lt;page=S&gt;Miss courier! Pharloom&#8217;s bugs are wishing, waiting, sad and scared. The deliverings are needed, now more than more!","&lt;page=S&gt;Nona kurir! Serangga-serangga Pharloom sedang berharap, menunggu, sedih, dan takut. Pengiriman sangat dibutuhkan, sekarang lebih dari sebelumnya!"
RELIC_DEALER_RELICS_FIRST,But what&#8217;s this?! I smell something on you right now! You have a relic for me!,Tapi apa ini?! Aku mencium bau sesuatu padamu sekarang! Kamu punya barang antik untukku!
DOCTOR_CURSE_FIX_OFFER,"Aha! The spines! Specimen, you have them! Then it is time, indeed! Bzzt! To free you of your wriggling torment, and show my genius clear!","Aha! Duri-durinya! Spesimen, kau memilikinya! Maka saatnya memang telah tiba! Bzzt! Untuk membebaskanmu dari penderitaan yang menggelitik, dan memperlihatkan kejeniusanku dengan jelas!"
SHOPKEEP_CURSED,"Oh my, what a state you&#8217;re in! You look like you&#8217;re one breath away from keeling over dead!&lt;hpage&gt;I will continue to live, madam, but I am indeed afflicted. A parasite has taken root within my shell... Perhaps you have something that could help me? A medicine?&lt;page&gt;Mmm, not so sure I stock anything like that. You should ask Pavo there. It&#8217;s his job to give directions and such, so he may have some useful advice.&lt;page&gt;In the meantime... shopping itself is a type of medicine, isn&#8217;t it? You should buy something now. Given your condition, this might be your last chance!","Astaga, dalam keadaan apa kamu ini! Kamu terlihat seperti hampir pingsan!&lt;hpage&gt;Saya akan terus hidup, Nyonya, tapi memang saya sedang sakit. Seekor parasit telah bersarang di dalam cangkang saya... Mungkin kamu punya sesuatu yang bisa membantuku? Obat?&lt;page&gt;Hmm, aku tidak yakin punya barang seperti itu. Sebaiknya kamu tanya Pavo di sana. Itu tugasnya memberi petunjuk dan sebagainya, jadi mungkin dia punya saran yang berguna.&lt;page&gt;Sementara itu... berbelanja itu sendiri adalah jenis obat, bukan? Kamu sebaiknya membeli sesuatu sekarang. Mengingat kondisimu, ini mungkin kesempatan terakhirmu!"
COURIER_SHOP_CURSED_TALK_1,"&lt;page=S&gt;Ughhh! What-what is this? Your body is all twisting, creaking! Horrid fiend inside! &lt;hpage&gt;A parasite has lodged deep inside my shell. It has taken some strength of will to keep its thrashing at bay.&lt;page=T&gt;With a shell like such, you cannot be taking no deliverings! Infect the goods you would-would!&lt;hpage&gt;Very well, couriers. If I somehow manage to remove the parasite, I may return to offer aid.","&lt;page=S&gt;Ughhh! Apa-apaan ini? Tubuhmu berputar-putar dan berderit! Makhluk jahat di dalam sana! &lt;hpage&gt;Seekor parasit telah bersarang dalam cangkangku. Aku harus mengerahkan kekuatan kehendak untuk menahan gerakannya.&lt;page=T&gt;Dengan cangkang seperti ini, kau tidak boleh menerima pengiriman apa pun! Infeksi barang-barang yang kau inginkan!&lt;hpage&gt;Baiklah, para kurir. Jika aku berhasil menghilangkan parasit itu, aku mungkin akan kembali untuk membantu."
BELLHERMIT_MEET,"What do you want, slave?&lt;hpage&gt;Slave? I am a traveller, stranger, not a slave.&lt;page&gt;Grnk. Exactly what a slave would say. Begone!","Apa yang kau inginkan, budak?&lt;hpage&gt;Budak? Aku seorang pengembara, orang asing, bukan budak.&lt;page&gt;Grnk. Tepat seperti yang akan dikatakan seorang budak. Pergi!"
GREETER_REPEAT2_ACT3,"&lt;hpage&gt;Soon, Pavo, I shall calm the chaos. Please guard these bugs safe till then.&lt;page&gt;Of course, dear resident! Of course! Know all our faith, and our wishes go with you.","&lt;hpage&gt;Segera, Pavo, aku akan menenangkan kekacauan ini. Tolong jaga serangga-serangga ini dengan aman sampai saat itu.&lt;page&gt;Tentu saja, wahai penghuni! Tentu saja! Ketahuilah semua keyakinan kami, dan harapan kami menyertai Anda."
SHOP_ITEM_ROSARYSTRING_M_DESC,"Loose rosaries will escape your pockets at the worst of times, and I&#8217;m a deft claw at stringing them tight! I can string you a whole necklace, safe and stylish.","Rosario yang longgar akan jatuh dari saku Anda pada saat yang paling tidak tepat, dan saya ahli dalam mengikatnya dengan rapat! Saya bisa membuatkan Anda kalung yang aman dan stylish."
COURIER_SHORT_QUEST_ACCEPTED,"&lt;hpage&gt;I have taken your wish, Tipp. If I find your brother safe, I&#8217;ll be sure to send him back this way.&lt;page&gt;My many thanks, miss saving! You are brave-brave. Same as brother! My faith goes all with you!","&lt;hpage&gt;Aku telah menerima permintaanmu, Tipp. Jika aku menemukan saudaramu selamat, aku pasti akan mengembalikannya ke sini.&lt;page&gt;Terima kasih banyak, Nona Penyelamat! Kamu sangat berani! Sama seperti saudaramu! Aku percaya sepenuhnya padamu!"
PINSMITH_QUEST_REPEAT,"Up there, in that Citadel, the fabled oil is waiting. Bestow it upon this fine pinmaster and your blade shall sing louder yet.&lt;hpage&gt;I will find the oil, pinmaster. Keep your skills sharp.","Di sana, di dalam Citadel itu, minyak legendaris itu sedang menanti. Berikanlah kepada pinmaster yang terampil ini, dan pedangmu akan bernyanyi lebih nyaring lagi.&lt;hpage&gt;Aku akan menemukan minyak itu, pinmaster. Jaga keahlianmu tetap tajam."
