name,original_text,translated_text
BB_FIXER_ACT3_MEET,"Ah, miss! Course you&#8217;d be one to survive through all this! Capable as you seem and all. &lt;page&gt;It&#8217;s a sad thing, but I can&#8217;t say most folk down here&#8217;ve fared so fortunate. And our once fine camp below ain&#8217;t no longer safe for any bug, all crushed and consumed by this black calamity.&lt;hpage&gt;Nowhere is safe, sir, but I am glad you few remain. Know I shall work to fix this, as best I&#8217;m able.&lt;page&gt;Calming our raging world? That&#8217;s a lofty goal, miss. I&#8217;m not thinkin&#8217; any one bug&#8217;d be able to stop these happenings, but it&#8217;s heartenin&#8217; knowing you&#8217;ve still got fire enough to feel different.&lt;page&gt;Rest here with us, long as you like. A little company&#8217;s about the best thing we few&#8217;re wishin&#8217; for now.","Ah, Nona! Tentu saja Anda yang bisa bertahan melalui semua ini! Sepertinya Anda memang mampu. &lt;page&gt;Ini hal yang menyedihkan, tapi saya tidak bisa mengatakan bahwa kebanyakan orang di sini seberuntung Anda. Dan kamp kita yang dulu indah di bawah sana kini tak lagi aman bagi serangga mana pun, semuanya hancur dan dimakan oleh bencana hitam ini.&lt;hpage&gt;Tak ada tempat yang aman, Tuan, tapi aku senang kalian masih ada. Ketahuilah, aku akan berusaha memperbaiki ini sebaik mungkin.&lt;page&gt;Menenangkan dunia yang gila ini? Itu tujuan yang mulia, Nona. Saya tidak berpikir ada serangga yang mampu menghentikan kejadian ini, tapi menyadari Anda masih memiliki semangat untuk merasa berbeda itu menghibur.&lt;page&gt; Beristirahatlah di sini bersama kami, selama yang Anda inginkan. Sedikit teman adalah hal terbaik yang kami harapkan saat ini."
BB_FIXER_DELIVERY,"&lt;hpage&gt;Sir, I bring supplies from the town of bells up above, to aid your camp and its residents.&lt;page&gt;Ah! Mighty thankful these folks&#8217;ll be. Most arrive here with nothin&#8217; but their shell. Your delivery there&#8217;ll make things a little easier on &#8216;em.","&lt;hpage&gt;Tuan, saya membawa persediaan dari kota Bells di atas sana, untuk membantu perkemahan Anda dan penduduknya.&lt;page&gt;Ah! Penduduk di sini pasti akan sangat bersyukur. Kebanyakan dari mereka tiba di sini hanya dengan apa yang mereka miliki. Pengiriman Anda akan sedikit meringankan beban mereka."
MOSSCREEP_MEET_ALT,"Mm. Mmm! Who is it? An intruder! Terrible! To interrupt a humble druid as they work!&lt;hpage&gt;I meant no intrusion, druid. The sound of your laughter drew me to investigate.&lt;page&gt;What? Laughter? No idea what you mean. Nonsense!","Mm. Mmm! Siapa itu? Seorang penyusup! Mengenaskan! Mengganggu seorang druid yang sedang bekerja!&lt;hpage&gt;Aku tidak bermaksud mengganggu, druid. Suara tawamu membuatku penasaran untuk menyelidiki.&lt;page&gt;Apa? Tawa? Aku tidak tahu apa yang kamu maksud. Omong kosong!"
BB_CARETAKER_BASEMENT_REPEAT,"May your travels bring you fortune, hunter. And may the Citadel come to fear your freedom in our land.","Semoga perjalananmu membawa keberuntungan, pemburu. Dan semoga Citadel takut akan kebebasanmu di tanah kami."
BELLWAY_PILGRIM_MEET_2,"Hrm? Oh, it&#8217;s you again. Please, no more talk of bells or travel. I&#8217;m trying to stay hidden.&lt;hpage&gt;I mean no intrusion, ma&#8217;am. Are you composing yourself here before you leave on your own journey?&lt;page&gt;Like all the others, my brothers and sisters who trudged off to die? No, I think I&#8217;ll linger here a little longer with my thoughts...","Hrm? Oh, kamu lagi. Tolong, jangan bicara lagi tentang lonceng atau perjalanan. Aku sedang berusaha bersembunyi.&lt;hpage&gt;Aku tidak bermaksud mengganggu, Bu. Apakah kamu sedang menenangkan diri di sini sebelum berangkat dalam perjalananmu sendiri?&lt;page&gt;Seperti semua yang lain, saudara-saudaraku yang pergi untuk mati? Tidak, aku pikir aku akan tinggal di sini sedikit lebih lama dengan pikiran-pikiranku..."
BB_RESIDENT_GOT_SILKSPEAR,"Must be terrifying out there, beyond the settlement. Nothing but monsters and madness lurking in the darkness.&lt;page&gt;I&#8217;ve heard tales of a safe place, though. Just up above here, where the moss paints the stones green, there&#8217;s an old village. Bit of a holy place, apparently, well protected.&lt;hpage&gt;I&#8217;ve visited the settlement you speak of. It was built around a burial spire, corpse-home to an ancient Weaver.&lt;hpage&gt;It is hardly safe though. The terrain is treacherous, and predators prowl its commons. I advise you avoid that place.&lt;page&gt;Oh... I see. Of course. Nowhere is really free of danger, is it? That&#8217;s just the way for us pilgrims...","Pasti menakutkan di luar sana, di luar pemukiman. Hanya ada monster dan kegilaan yang mengintai dalam kegelapan.&lt;page&gt;Aku pernah mendengar cerita tentang tempat yang aman, though. Di atas sini, di mana lumut mewarnai batu-batu hijau, ada sebuah desa tua. Konon tempat suci, cukup terlindungi.&lt;hpage&gt;Saya pernah mengunjungi pemukiman yang Anda bicarakan. Dibangun di sekitar menara pemakaman, tempat tinggal mayat seorang Weaver kuno.&lt;hpage&gt;Tapi tempat itu sama sekali tidak aman. Medan di sana berbahaya, dan predator berkeliaran di wilayahnya. Saya sarankan Anda menghindari tempat itu.&lt;page&gt;Oh... Saya mengerti. Tentu saja. Tidak ada tempat yang benar-benar bebas dari bahaya, bukan? Itulah nasib kita para peziarah..."
FUNERAL_2,"For though, as pilgrims, we aim our sights high and never waver from our path, the loss of a brother or sister still stops our trembling limbs in place.","Meskipun sebagai peziarah, kita menargetkan tujuan yang tinggi dan tidak pernah menyimpang dari jalan kita, kehilangan seorang saudara atau saudari tetap membuat tubuh kita yang gemetar terhenti di tempat."
BB_CARETAKER_REPEAT,"Few are as foreign as you, hunter dear. Visit me when you care.&lt;page&gt;I&#8217;ll look forward to hearing how your steps might shake our world. Oho. Yes!","Sedikit yang seasing dirimu, pemburu terkasih. Kunjungilah aku saat kau peduli.&lt;page&gt;Aku akan menantikan kabar bagaimana langkahmu mungkin menggoncang dunia kita. Oho. Ya!"
MOSSCREEP_COMPLETED_ACT3,"Ohh, the world trembles! But we can hear it... beating steady... beating free...","Ohh, dunia bergetar! Tapi kita bisa mendengarnya... berdetak dengan stabil... berdetak dengan bebas..."
MOSSCREEP_REFUSE,"Granter refuses! I understand. Granter is petty, evil. Misguided! When your mind clears, return here. Return here and grant my wish!","Granter menolak! Aku mengerti. Granter itu kerdil, jahat. Tersesat! Ketika pikiranmu jernih, kembalilah ke sini. Kembalilah ke sini dan kabulkanlah keinginanku!"
BELLWAY_PILGRIM_MEET_1,"Oh... you&#8217;ve come to hide down here too, then? &#8216;Tis a fearful world out there. If you can keep quiet, I don&#8217;t mind you joining me.&lt;hpage&gt;You&#8217;ve chosen a curious place to rest, ma&#8217;am. This pit of bells and the structure around it... they suggest a station for travel, though one long abandoned.&lt;page&gt;Aye. Rumours in the camp say these bells run throughout the lands, great veins of them, forged by our ancient kin.&lt;page&gt;And some even say bugs used to travel through them, in gilded carriages no less!&lt;page&gt;Surely such fanciful travel would be a sin for us pilgrims. We must walk and climb and crawl using only our own meagre claws... Only thus can we prove our devotion.","Oh... kamu juga datang untuk bersembunyi di sini, ya? ‘Dunia di luar sana memang menakutkan. Jika kamu bisa diam, aku tidak keberatan kamu bergabung denganku.’&lt;hpage&gt;Kamu telah memilih tempat yang aneh untuk beristirahat, Nyonya. Lubang lonceng ini dan struktur di sekitarnya... mereka menyiratkan stasiun perjalanan, meski sudah lama ditinggalkan.&lt;page&gt;Benar. Kabar di kamp mengatakan lonceng-lonceng ini tersebar di seluruh tanah, urat-urat besar yang dibuat oleh nenek moyang kita.&lt;page&gt; Dan beberapa bahkan mengatakan serangga dulu bepergian melalui mereka, dalam kereta emas!&lt;page&gt;Tentu saja perjalanan yang begitu fantastis akan menjadi dosa bagi kita para peziarah. Kita harus berjalan, mendaki, dan merangkak hanya dengan cakar kita yang lemah... Hanya dengan begitu kita dapat membuktikan kesetiaan kita."
BB_FIXER_Q1_UNACCEPTED,"Did you take a look at the wishwall? You might&#8217;ve noticed I added a cheeky little wish of my own.&lt;page&gt;Fair&#8217;s fair, I did build the thing. Seems like the kingdom should be granting my wish before anyone else&#8217;s.","Apakah kamu sudah melihat dinding keinginan? Mungkin kamu sudah memperhatikan bahwa aku menambahkan keinginan kecil yang nakal milikku sendiri.&lt;page&gt;Adil saja, aku memang yang membangunnya. Sepertinya kerajaan seharusnya mengabulkan keinginanku sebelum keinginan orang lain."
MOSSCREEP_DONT_GIVE,You keep the berries to yourself? All for you? Mmm. Promise breaker! Promise breaker!,Kamu menyimpan buah beri untuk dirimu sendiri? Semua untukmu? Mmm. Pelanggar janji! Pelanggar janji!
BB_RESIDENT_NAME,"Never shared my name with you, did I? Awfully remiss of me.&lt;page&gt;It&#8217;s Pilby. Been nice spending time with you, miss.&lt;hpage&gt;Likewise, sir. It&#8217;s been some time since I had such ample opportunity for friendly conversation.&lt;hpage&gt;My name is Hornet. It is good to be properly acquainted at last.&lt;page&gt;Hornet, eh? Strong name, that. It certainly suits you, miss. Heh heh...","Saya belum pernah memberitahu nama saya kepada Anda, bukan? Sangat lalai dari saya.&lt;page&gt;Namaku Pilby. Senang bisa menghabiskan waktu bersama Anda, Nona.&lt;hpage&gt;Sama-sama, Tuan. Sudah lama saya tidak memiliki kesempatan yang cukup untuk berbincang-bincang dengan ramah.&lt;hpage&gt;Nama saya Hornet. Senang akhirnya bisa berkenalan dengan baik.&lt;page&gt;Hornet, ya? Nama yang kuat. Itu pasti cocok untuk Anda, Nona. Heh heh..."
MOSSCREEP_TRADE_INTRO,"The Mossberries. Do you still hunt them, little you? My wish was granted, but clear now that more are needed! More!&lt;page&gt;Bring more Mossberries here. Mmm. Yes, we will trade. Precious rosaries for fresh berries!","Mossberries. Apakah kamu masih memburunya, si kecil? Keinginanku terkabul, tapi sekarang jelas bahwa lebih banyak lagi yang dibutuhkan! Lebih banyak!&lt;page&gt;Bawa lebih banyak Mossberries ke sini. Mmm. Ya, kita akan bertukar. Rosario berharga untuk beri segar!"
MOSSCREEP_CANCOMPLETE,"&lt;hpage&gt;As promised, druid, I have your berries. What is your need for such common fruits?&lt;page&gt;Common!? No. No... Special. Cherished. Only a druid knows it! The berries bright! For my wish. My wish so dear! ","&lt;hpage&gt;Seperti yang dijanjikan, druid, aku membawa buah-buahanmu. Untuk apa kau membutuhkan buah-buahan biasa seperti ini?&lt;page&gt;Biasa!? Tidak. Tidak... Spesial. Berharga. Hanya seorang druid yang mengetahuinya! Buah-buahan yang bersinar! Untuk keinginanku. Keinginanku yang begitu berharga! "
BB_SHOPKEEP_NOSTOCK_RETURN,"I&#8217;ll soon be making my way up to the great Citadel. As holy as I am with rosaries, I&#8217;m sure my path will not be an arduous one...","Segera aku akan menuju ke Citadel yang agung. Sebagaimana suci aku dengan rosario, aku yakin perjalanan ku tidak akan sulit."
BB_FIXER_ACT3_DELIVERY_POST,"Oh! And you can&#8217;t be leavin&#8217; without some reward for your work. Take these beads for labour.&lt;page&gt;Rosaries ain&#8217;t provin&#8217; much use to us lot anymore, but hopefully you in all your journeyin&#8217; can still put &#8216;em to use.","Oh! Dan kamu tidak bisa pergi begitu saja tanpa mendapatkan imbalan atas kerja kerasmu. Ambil manik-manik ini sebagai imbalan atas usahamu.&lt;page&gt;Rosario tidak lagi banyak berguna bagi kami, tapi semoga kamu dalam perjalananmu masih bisa memanfaatkannya."
MOSSCREEP_OFFER,"You&#8217;re here, in here, so why did you send you? Hm? Did you hear my wish? Granter of wishes? You?&lt;hpage&gt;Granter of wishes?&lt;page&gt;Wishes, yes! My wish! I need fruits of the world, three little darlings. I need them, so I wish! Does the kingdom not send you, little you, to grant my desire?","Kamu di sini, di dalam sini, jadi kenapa kamu dikirim ke sini? Hm? Apakah kamu mendengar permohonanku? Pemberi permohonan? Kamu?&lt;hpage&gt;Pemberi permohonan?&lt;page&gt;Permohonan, ya! Permohonanku! Aku butuh buah-buahan dunia, tiga buah kecil yang manis. Aku butuh mereka, jadi aku memohon! Apakah kerajaan tidak mengirimmu, kamu yang kecil, untuk mengabulkan keinginanku? "
BB_RESIDENT_BELLHART,"Your travels have taken you far, haven&#8217;t they? While I&#8217;m yet to even start my journey. Shameful behaviour for a pilgrim really, to tarry here so long.&lt;hpage&gt;I see no shame in it, sir. Your life is your own, and need not be squandered at the ghostly call of the Citadel. Journey out for your own sake, or not at all.&lt;page&gt;Heh... you truly aren&#8217;t a pilgrim, that&#8217;s for certain. That&#8217;s blasphemy, spoken with friendly intentions or not.&lt;page&gt;And yet... I don&#8217;t recoil from what you say. Perhaps I&#8217;m not much of a pilgrim either.","Perjalananmu telah membawamu jauh, bukan begitu? Sementara aku belum mulai perjalanan ku sama sekali. Perilaku yang memalukan bagi seorang peziarah, untuk berlama-lama di sini begitu lama.&lt;hpage&gt;Aku tidak melihat ada yang memalukan dalam hal itu, tuan. Hidupmu adalah milikmu sendiri, dan tidak perlu dibuang sia-sia oleh panggilan hantu dari Citadel. Berangkatlah untuk kebaikanmu sendiri, atau jangan sama sekali.&lt;page&gt;Heh... kau benar-benar bukan seorang peziarah, itu pasti. Itu adalah penistaan, terlepas dari niat baik atau tidak.&lt;page&gt;Dan yet... Aku tidak mundur dari apa yang kau katakan. Mungkin aku juga bukan peziarah yang sejati."
BB_SHOPKEEP_ITEM_ROSARY_MAGNET_DESC,"This stone&#8217;s a beauty, isn&#8217;t it? They say it&#8217;ll help you gather up rosaries on the road ahead. You&#8217;ll come back and share some with me, won&#8217;t you?","Batu ini indah sekali, bukan? Katanya batu ini akan membantu kamu mengumpulkan rosario di perjalanan ke depan. Kamu akan kembali dan berbagi beberapa dengan aku, kan?"
FUNERAL_NAME_2,"Ah, thank you for sharing, sister. For the honourable and steadfast Pilby, we will sing.","Ah, terima kasih sudah berbagi, saudari. Untuk Pilby yang mulia dan teguh, kita akan bernyanyi."
MOSSCREEP_COMPLETED,"Mmm. You can hear it, yes? Listen close. Weak, but precious. A pulse, a beat! Faint... Our very own...","Hmm. Kamu bisa mendengarnya, kan? Dengarkan baik-baik. Lemah, tapi berharga. Detak jantung, irama! Lemah... Milik kita sendiri..."
