name;original_text;translated_text
TROUPE_LEADER_DECLINE_QUEST1;"Ah... I understand, stranger. I presume too much of one who is not a flea.&lt;page&gt;I&#8217;ve heard the settlement below us is setting up a wishwall. Perhaps I&#8217;ll send Grishkin down to hang up our wish...&lt;page&gt;";"Ah... Saya mengerti, orang asing. Saya terlalu beranggapan bahwa Anda bukan kutu. &lt;page&gt;Saya dengar permukiman di bawah kita sedang mendirikan dinding harapan. Mungkin saya akan menyuruh Grishkin turun untuk menggantung harapan kita...&lt;page&gt;"
TROUPE_HUNTER_EMPTY;"Bug not flea, my learnings, all have been scratched to your maps. Can give no more.&lt;page&gt;Leave now! Seek and save lost fleas, for a caravan full and whole!";"Serangga bukan kutu, semua pengetahuan saya telah tergores ke peta Anda. Tidak bisa memberi lagi. &lt;page&gt;Pergi sekarang! Cari dan selamatkan kutu-kutu yang hilang, untuk karavan yang penuh dan utuh!"
TROUPE_LEADER_INFO_HUNTER;"Have you met her yet? Our burly new companion, Vog! Fresh returned from a long time spent tracking.&lt;hpage&gt;We have met, Fleamaster. It gladdens me that so strong a flea exists as her.&lt;hpage&gt;Yours was a caravan sorely lacking for protection, and I am too bound by my own tasks to provide it for you.&lt;page&gt;Why, we would never impose so! And now, no matter! Her scent may be strong, and her taste for brew bottomless, but her skill is sharp.&lt;page&gt;If predators draw close, her talents will provide much confidence to our caravan.";"Apakah Anda sudah bertemu dengannya? Teman baru kami yang kekar, Vog! Baru saja kembali setelah lama melacak. &lt;hpage&gt;Kami sudah bertemu, Fleamaster. Saya senang ada kutu sekuat dia. &lt;hpage&gt;Karavan Anda sangat kekurangan perlindungan, dan saya terlalu terikat oleh tugas saya sendiri untuk memberikannya kepada Anda. &lt;page&gt;Kenapa, kami tidak akan pernah memaksakan! Dan sekarang, tidak masalah! Baunya mungkin kuat, dan seleranya untuk minuman tak terbatas, tetapi keahliannya tajam. &lt;page&gt;Jika predator mendekat, bakatnya akan memberikan banyak kepercayaan pada karavan kita."
TROUPE_HUNTER_MEET_NOMAP_ACT3;"You remain, bug not flea? Would you seek service of me, ehh? Mine is knowledge much, the places of the lost little ones, heard and smelt across the caves.&lt;page&gt;You could help find! And bring! For all to come together now that times turn dark...&lt;page&gt;But no map you hold! If learnings are wanted, a map must be owned. Until then, we have no trade to make.";"Kamu masih di sini, serangga bukan kutu? Kamu ingin meminta layanan dariku, ehh? Pengetahuan saya banyak, tempat-tempat si kecil yang hilang, terdengar dan tercium di seluruh gua. &lt;page&gt;Kamu bisa membantu mencari! Dan membawa! Agar semua bisa berkumpul sekarang karena masa-masa menjadi gelap... &lt;page&gt;Tapi kamu tidak punya peta! Jika pelajaran diinginkan, peta harus dimiliki. Sampai saat itu, kita tidak punya perdagangan untuk dilakukan."
TROUPE_MEMBER_SHORT_REPEAT_FLEATOPIA_ACT3;Our travels have end, and now soon the world will also have end! At such bitter of times, brew with friends is most sweet.;Perjalanan kami telah berakhir, dan sekarang tak lama lagi dunia juga akan berakhir! Di saat-saat pahit seperti itu, minum bersama teman adalah yang paling manis.
CARAVAN_LECH_INTRO;"&lt;hpage&gt;Greetings again, sir flea. I see you were able to unite safely with this caravan.&lt;page&gt;Oh yes! All thanks to you! Dear, sweet you! Heh heh!&lt;page&gt;The Fleamaster, that old bore, tells me to call you Miss Hornet. But such a prickly name ill befits such a delicate beauty! Shall I call you something prettier, like &#8216;Nectarsweet&#8217;, my dear?&lt;hpage&gt;You shall not. Address me by my name or not at all.&lt;page&gt;Gradak! Of course. Of course! Heh heh. And now, I shall let you in on my little secret. My carriage doubles as a soothing spa, you see. It&#8217;s most ingenious.&lt;page&gt;The water inside is piping hot, and purer than a psalm! Heh heh! I&#8217;d gladly let you soak inside, for a modest fee!";"&lt;hpage&gt;Salam lagi, tuan kutu. Saya melihat Anda berhasil bersatu dengan karavan ini dengan aman. &lt;page&gt;Oh, ya! Semua berkat Anda! Anda yang manis, manis! Heh heh! &lt;page&gt;Fleamaster, si tua membosankan itu, menyuruh saya memanggil Anda Nona Hornet. Tapi nama yang berduri itu tidak cocok untuk kecantikan yang begitu lembut! Haruskah saya memanggil Anda sesuatu yang lebih cantik, seperti 'Manisan Nektar', sayangku? &lt;hpage&gt;Anda tidak boleh. Panggil saya dengan nama saya atau tidak sama sekali. &lt;page&gt;Gradak! Tentu saja. Tentu saja! Heh heh. Dan sekarang, saya akan memberi tahu Anda rahasia kecil saya. Kereta saya berfungsi ganda sebagai spa yang menenangkan, Anda tahu. Itu sangat cerdik. &lt;page&gt;Air di dalamnya sangat panas, dan lebih murni dari sebuah mazmur! Heh heh! Saya dengan senang hati akan membiarkan Anda berendam di dalamnya, dengan biaya yang tidak seberapa!"
FG_BOUNCE_INTRO_FIRST;"Dear one, how shameful for the world to end while poor Kratt still has so much living left in him!&lt;page&gt;But how sweet of you to join me here! Will you play the Flea Bounce game, that I may appreciate the beauty of your agile form while I await my doom?&lt;page&gt;To play is simple. Leap up and keep bouncing on the fleas who fly past for as long as you are able!";"Sayangku, betapa memalukannya dunia ini berakhir sementara Kratt yang malang masih memiliki begitu banyak kehidupan yang tersisa di dalam dirinya! &lt;page&gt;Tapi betapa manisnya Anda bergabung dengan saya di sini! Maukah Anda memainkan permainan Flea Bounce, agar saya dapat menghargai keindahan wujud lincah Anda sementara saya menunggu takdir saya? &lt;page&gt;Untuk bermain itu sederhana. Lompat dan terus memantul pada kutu yang terbang lewat selama Anda bisa!"
TROUPE_MEMBER_TALL_REPEAT_GREYMOOR;Strange beasts prowl these grey lands. I hear them roar and shriek outside camp. Is best to stay inside and make quiet.;Hewan buas yang aneh berkeliaran di tanah abu-abu ini. Saya mendengar mereka mengaum dan menjerit di luar perkemahan. Lebih baik tinggal di dalam dan membuat tenang.
FG_DODGE_CHOICE;Compete in Flea Dodge?;Bersaing di Flea Dodge?
TROUPE_MEMBER_SHORT_MEET_FLEATOPIA;"At longest last, have our flea roamings ended! Every sandy grain and stinky squelchy maggot was worth to endure, to claim such a home!&lt;page&gt;Is time for rest and celebrate, and none have earned such more than you, Miss Hornet! Raise your flask and drink most heartily with us!";"Pada akhirnya, pengembaraan kutu kita telah berakhir! Setiap butir pasir dan belatung yang bau dan lembek layak untuk ditahan, untuk mengklaim rumah seperti itu! &lt;page&gt;Sudah waktunya untuk beristirahat dan merayakan, dan tidak ada yang lebih layak daripada Anda, Nona Hornet! Angkat botol Anda dan minumlah dengan sepenuh hati bersama kami!"
TROUPE_LEADER_GREYMOOR_REPEAT;We will camp here in these grey lands until more fleas find their way to the caravan. Please lend your aid to any of our fellows you find lost out on the roads!;Kami akan berkemah di sini di tanah abu-abu ini sampai lebih banyak kutu menemukan jalan mereka ke karavan. Tolong berikan bantuan Anda kepada salah satu teman kami yang Anda temukan hilang di jalan!
